id,nom,description,tarif,date,id_auteur,matiere,niveau_etude_min,niveau_etude_max
37,Cours de sport,"Phasellus malesuada, sem non sollicitudin pharetra, purus ligula blandit odio, cursus sodales sapien justo sed massa. Aliquam suscipit venenatis lacinia. In hac habitasse platea dictumst. Morbi sagittis luctus risus, sed suscipit dui tempus eu. Phasellus a arcu ultricies, facilisis purus in, cursus erat. Sed augue dui, pretium ac nisi interdum, iaculis accumsan eros. Nulla euismod augue in nisi ultricies pulvinar. Maecenas eu leo sed enim dignissim semper sit amet quis sapien. Nulla sollicitudin urna eu leo consequat, ac ullamcorper diam rutrum. Sed quis suscipit metus.",32,2014-02-21,882,sport,18,18
38,Cours de technologie,"Phasellus malesuada, sem non sollicitudin pharetra, purus ligula blandit odio, cursus sodales sapien justo sed massa. Aliquam suscipit venenatis lacinia. In hac habitasse platea dictumst. Morbi sagittis luctus risus, sed suscipit dui tempus eu. Phasellus a arcu ultricies, facilisis purus in, cursus erat. Sed augue dui, pretium ac nisi interdum, iaculis accumsan eros. Nulla euismod augue in nisi ultricies pulvinar. Maecenas eu leo sed enim dignissim semper sit amet quis sapien. Nulla sollicitudin urna eu leo consequat, ac ullamcorper diam rutrum. Sed quis suscipit metus.",31,2014-07-09,600,technologie,18,18
39,Cours de science,"Suspendisse sit amet pharetra augue, quis semper augue. Vivamus vel nunc cursus, cursus ante quis, dictum eros. Etiam a purus metus. Praesent at elit ullamcorper, lobortis ipsum eget, tempus ligula. Integer urna erat, consequat id sapien ac, commodo vestibulum nisl. In odio ligula, iaculis hendrerit eros ac, viverra bibendum risus. Donec vulputate ligula neque, eget malesuada nibh venenatis sit amet. Nunc laoreet odio et venenatis congue. Suspendisse leo eros, rhoncus ultrices sem sed, efficitur luctus tortor. Curabitur nec eros sit amet mi condimentum molestie.",20,2014-06-28,456,science,7,7
40,Cours de musique,"Suspendisse sit amet pharetra augue, quis semper augue. Vivamus vel nunc cursus, cursus ante quis, dictum eros. Etiam a purus metus. Praesent at elit ullamcorper, lobortis ipsum eget, tempus ligula. Integer urna erat, consequat id sapien ac, commodo vestibulum nisl. In odio ligula, iaculis hendrerit eros ac, viverra bibendum risus. Donec vulputate ligula neque, eget malesuada nibh venenatis sit amet. Nunc laoreet odio et venenatis congue. Suspendisse leo eros, rhoncus ultrices sem sed, efficitur luctus tortor. Curabitur nec eros sit amet mi condimentum molestie.",21,2014-07-07,821,musique,8,8
41,Cours de sport,"Suspendisse sit amet pharetra augue, quis semper augue. Vivamus vel nunc cursus, cursus ante quis, dictum eros. Etiam a purus metus. Praesent at elit ullamcorper, lobortis ipsum eget, tempus ligula. Integer urna erat, consequat id sapien ac, commodo vestibulum nisl. In odio ligula, iaculis hendrerit eros ac, viverra bibendum risus. Donec vulputate ligula neque, eget malesuada nibh venenatis sit amet. Nunc laoreet odio et venenatis congue. Suspendisse leo eros, rhoncus ultrices sem sed, efficitur luctus tortor. Curabitur nec eros sit amet mi condimentum molestie.",28,2015-10-19,577,sport,18,18
42,Cours de art plastique,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Morbi vel tincidunt metus, id aliquam quam. Ut vulputate sodales luctus. Etiam et tellus in mauris placerat dignissim sed sit amet orci. Maecenas sodales vitae mi quis efficitur. Praesent ultricies ultricies mauris sit amet bibendum. Nam pharetra consequat odio consequat tincidunt. Nullam vel tortor ut dui sollicitudin hendrerit quis sed lectus. Etiam rhoncus ullamcorper ullamcorper. Curabitur sagittis consequat odio, eu interdum lorem porttitor non.",32,2014-07-01,116,art plastique,18,18
43,Cours de chimie,"Curabitur convallis eleifend tincidunt. Sed at nibh et orci consectetur tempor ut eget nisi. Vivamus sed sodales est, nec porta urna. Cras vel justo eu tortor mollis porta sollicitudin sit amet mauris. Integer vel orci vitae lectus rhoncus scelerisque vel quis magna. Vivamus luctus mollis tortor, nec gravida lorem malesuada molestie. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Duis viverra placerat leo. Aliquam vel justo a justo faucibus malesuada. Donec feugiat tellus a diam imperdiet lobortis. Phasellus feugiat fermentum vulputate. Sed sollicitudin orci in gravida feugiat. Curabitur quis finibus leo.",14,2016-10-29,139,chimie,1,1
44,Cours de chimie,"Phasellus malesuada, sem non sollicitudin pharetra, purus ligula blandit odio, cursus sodales sapien justo sed massa. Aliquam suscipit venenatis lacinia. In hac habitasse platea dictumst. Morbi sagittis luctus risus, sed suscipit dui tempus eu. Phasellus a arcu ultricies, facilisis purus in, cursus erat. Sed augue dui, pretium ac nisi interdum, iaculis accumsan eros. Nulla euismod augue in nisi ultricies pulvinar. Maecenas eu leo sed enim dignissim semper sit amet quis sapien. Nulla sollicitudin urna eu leo consequat, ac ullamcorper diam rutrum. Sed quis suscipit metus.",29,2014-04-24,435,chimie,18,18
45,Cours de science,"Suspendisse sit amet pharetra augue, quis semper augue. Vivamus vel nunc cursus, cursus ante quis, dictum eros. Etiam a purus metus. Praesent at elit ullamcorper, lobortis ipsum eget, tempus ligula. Integer urna erat, consequat id sapien ac, commodo vestibulum nisl. In odio ligula, iaculis hendrerit eros ac, viverra bibendum risus. Donec vulputate ligula neque, eget malesuada nibh venenatis sit amet. Nunc laoreet odio et venenatis congue. Suspendisse leo eros, rhoncus ultrices sem sed, efficitur luctus tortor. Curabitur nec eros sit amet mi condimentum molestie.",13,2014-03-05,19,science,3,3
46,Cours de art plastique,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Morbi vel tincidunt metus, id aliquam quam. Ut vulputate sodales luctus. Etiam et tellus in mauris placerat dignissim sed sit amet orci. Maecenas sodales vitae mi quis efficitur. Praesent ultricies ultricies mauris sit amet bibendum. Nam pharetra consequat odio consequat tincidunt. Nullam vel tortor ut dui sollicitudin hendrerit quis sed lectus. Etiam rhoncus ullamcorper ullamcorper. Curabitur sagittis consequat odio, eu interdum lorem porttitor non.",20,2015-10-26,650,art plastique,7,7
47,Cours de anglais,"Suspendisse sit amet pharetra augue, quis semper augue. Vivamus vel nunc cursus, cursus ante quis, dictum eros. Etiam a purus metus. Praesent at elit ullamcorper, lobortis ipsum eget, tempus ligula. Integer urna erat, consequat id sapien ac, commodo vestibulum nisl. In odio ligula, iaculis hendrerit eros ac, viverra bibendum risus. Donec vulputate ligula neque, eget malesuada nibh venenatis sit amet. Nunc laoreet odio et venenatis congue. Suspendisse leo eros, rhoncus ultrices sem sed, efficitur luctus tortor. Curabitur nec eros sit amet mi condimentum molestie.",17,2016-08-17,563,anglais,3,3
