date_inscription,date_realisation,proposition_cours,participant,duree,etat
2015-05-26      ,2015-05-27      ,83               ,1065       ,3    ,1
2014-12-30      ,2014-12-31      ,84               ,1052       ,1    ,1
2015-02-11      ,2015-02-12      ,85               ,1022       ,3    ,1
2015-10-02      ,2015-10-03      ,86               ,1081       ,1    ,1
2015-12-05      ,2015-12-06      ,87               ,1043       ,2    ,1
2016-08-04      ,2016-08-05      ,88               ,1094       ,1    ,1
2014-07-22      ,2014-07-23      ,89               ,1053       ,2    ,1
2015-04-23      ,2015-04-24      ,90               ,1095       ,2    ,1
2014-11-06      ,2014-11-07      ,91               ,1090       ,3    ,1
2016-03-25      ,2016-03-26      ,92               ,1073       ,1    ,1
2015-11-23      ,2015-11-24      ,93               ,1066       ,1    ,1
2014-03-16      ,2014-03-17      ,94               ,1039       ,3    ,1
2016-09-04      ,2016-09-05      ,95               ,1075       ,1    ,1
2015-06-22      ,2015-06-23      ,96               ,1042       ,2    ,1
2014-11-08      ,2014-11-09      ,97               ,1005       ,3    ,1
2016-08-02      ,2016-08-03      ,98               ,1029       ,3    ,1
2014-12-03      ,2014-12-04      ,99               ,1078       ,3    ,1
2015-01-28      ,2015-01-29      ,100              ,1005       ,3    ,1
2016-10-17      ,2016-10-18      ,101              ,1059       ,2    ,1
2017-01-02      ,2017-01-03      ,102              ,1068       ,3    ,1
2014-11-04      ,2014-11-05      ,103              ,1092       ,3    ,1
2016-11-11      ,2016-11-12      ,104              ,1012       ,3    ,1
2014-01-21      ,2014-01-22      ,105              ,1019       ,2    ,1
2015-04-07      ,2015-04-08      ,106              ,1046       ,1    ,1
2016-12-10      ,2016-12-11      ,107              ,1062       ,3    ,1
2015-12-05      ,2015-12-06      ,108              ,1020       ,1    ,1
2014-12-27      ,2014-12-28      ,109              ,1024       ,2    ,1
2014-02-28      ,2014-03-01      ,110              ,1093       ,1    ,1
2016-08-29      ,2016-08-30      ,111              ,1084       ,1    ,1
2014-07-11      ,2014-07-12      ,112              ,1069       ,2    ,1
2016-07-21      ,2016-07-22      ,113              ,1077       ,3    ,1
2015-11-26      ,2015-11-27      ,114              ,1005       ,2    ,1
2015-10-03      ,2015-10-04      ,115              ,1077       ,2    ,1
2014-10-01      ,2014-10-02      ,116              ,1019       ,3    ,1
2016-12-29      ,2016-12-30      ,117              ,1098       ,2    ,1
2016-05-03      ,2016-05-04      ,118              ,1030       ,1    ,1
2015-01-07      ,2015-01-08      ,119              ,1044       ,1    ,1
2014-11-17      ,2014-11-18      ,120              ,1081       ,2    ,1
2014-06-02      ,2014-06-03      ,121              ,1029       ,1    ,1
2014-06-09      ,2014-06-10      ,122              ,1012       ,2    ,1
2015-03-01      ,2015-03-02      ,123              ,1006       ,2    ,1
2016-04-03      ,2016-04-04      ,124              ,1078       ,2    ,1
2014-05-26      ,2014-05-27      ,125              ,1035       ,1    ,1
2015-03-05      ,2015-03-06      ,126              ,1044       ,3    ,1
2016-09-23      ,2016-09-24      ,127              ,1058       ,3    ,1
2016-02-18      ,2016-02-19      ,128              ,1013       ,2    ,1
2015-04-05      ,2015-04-06      ,129              ,1001       ,3    ,1
2014-07-06      ,2014-07-07      ,130              ,1096       ,1    ,1
2016-10-22      ,2016-10-23      ,131              ,1043       ,1    ,1
2014-03-07      ,2014-03-08      ,132              ,1095       ,1    ,1
2015-03-20      ,2015-03-21      ,133              ,1057       ,2    ,1
2014-12-27      ,2014-12-28      ,134              ,1065       ,2    ,1
2016-10-17      ,2016-10-18      ,135              ,1015       ,2    ,1
2014-07-18      ,2014-07-19      ,136              ,1069       ,1    ,1
2015-09-14      ,2015-09-15      ,137              ,1032       ,3    ,1
2016-09-13      ,2016-09-14      ,138              ,1075       ,3    ,1
2016-07-10      ,2016-07-11      ,139              ,1043       ,3    ,1
2015-11-15      ,2015-11-16      ,140              ,1080       ,3    ,1
2016-09-27      ,2016-09-28      ,141              ,1057       ,1    ,1
2016-01-20      ,2016-01-21      ,142              ,1078       ,1    ,1
2015-12-04      ,2015-12-05      ,143              ,1090       ,3    ,1
2016-04-03      ,2016-04-04      ,144              ,1073       ,2    ,1
2015-05-20      ,2015-05-21      ,145              ,1020       ,3    ,1
2015-02-02      ,2015-02-03      ,146              ,1032       ,1    ,1
2016-01-12      ,2016-01-13      ,147              ,1046       ,3    ,1
2015-10-05      ,2015-10-06      ,148              ,1019       ,3    ,1
2014-10-08      ,2014-10-09      ,149              ,1076       ,2    ,1
2015-11-28      ,2015-11-29      ,150              ,1026       ,1    ,1
2016-04-24      ,2016-04-25      ,151              ,1045       ,2    ,1
2015-12-02      ,2015-12-03      ,152              ,1054       ,3    ,1
2014-10-31      ,2014-11-01      ,153              ,1032       ,1    ,1
2016-03-15      ,2016-03-16      ,154              ,1040       ,3    ,1
2014-12-15      ,2014-12-16      ,155              ,1051       ,1    ,1
2015-03-20      ,2015-03-21      ,156              ,1055       ,1    ,1
2014-06-19      ,2014-06-20      ,157              ,1074       ,2    ,1
2016-08-12      ,2016-08-13      ,158              ,1017       ,3    ,1
2014-06-18      ,2014-06-19      ,159              ,1084       ,1    ,1
2014-08-09      ,2014-08-10      ,160              ,1025       ,3    ,1
2015-10-17      ,2015-10-18      ,161              ,1005       ,2    ,1
2014-06-29      ,2014-06-30      ,162              ,1052       ,2    ,1
2014-04-08      ,2014-04-09      ,163              ,1001       ,2    ,1
2016-02-28      ,2016-02-29      ,164              ,1005       ,2    ,1
2015-09-22      ,2015-09-23      ,165              ,1003       ,3    ,1
2014-04-06      ,2014-04-07      ,166              ,1095       ,3    ,1
2015-01-22      ,2015-01-23      ,167              ,1099       ,3    ,1
2016-03-25      ,2016-03-26      ,168              ,1022       ,1    ,1
2014-05-05      ,2014-05-06      ,169              ,1077       ,1    ,1
2015-04-05      ,2015-04-06      ,170              ,1057       ,2    ,1
2014-08-06      ,2014-08-07      ,171              ,1045       ,2    ,1
2014-04-22      ,2014-04-23      ,172              ,1052       ,2    ,1
2015-05-27      ,2015-05-28      ,173              ,1037       ,3    ,1
2016-08-14      ,2016-08-15      ,174              ,1089       ,2    ,1
2016-01-27      ,2016-01-28      ,175              ,1032       ,2    ,1
2015-10-28      ,2015-10-29      ,176              ,1005       ,2    ,1
2015-10-11      ,2015-10-12      ,177              ,1053       ,2    ,1
2014-02-21      ,2014-02-22      ,178              ,1063       ,3    ,1
2015-10-09      ,2015-10-10      ,179              ,1092       ,3    ,1
2014-02-11      ,2014-02-12      ,180              ,1089       ,3    ,1
2016-04-09      ,2016-04-10      ,181              ,1078       ,2    ,1
2016-08-19      ,2016-08-20      ,182              ,1041       ,3    ,1
2016-02-18      ,2016-02-19      ,183              ,1089       ,2    ,1
2014-09-29      ,2014-09-30      ,184              ,1055       ,1    ,1
2014-07-01      ,2014-07-02      ,185              ,1097       ,3    ,1
2015-11-01      ,2015-11-02      ,186              ,1059       ,3    ,1
2015-02-12      ,2015-02-13      ,187              ,1010       ,1    ,1
2014-04-15      ,2014-04-16      ,188              ,1017       ,2    ,1
2016-05-24      ,2016-05-25      ,189              ,1029       ,1    ,1
2016-10-13      ,2016-10-14      ,190              ,1012       ,2    ,1
2015-11-03      ,2015-11-04      ,191              ,1098       ,2    ,1
2017-02-27      ,2017-02-28      ,192              ,1048       ,2    ,1
2016-05-05      ,2016-05-06      ,193              ,1086       ,1    ,1
2015-04-17      ,2015-04-18      ,194              ,1050       ,2    ,1
2014-05-10      ,2014-05-11      ,195              ,1051       ,3    ,1
2016-11-24      ,2016-11-25      ,196              ,1009       ,1    ,1
2014-11-17      ,2014-11-18      ,197              ,1075       ,3    ,1
2014-07-27      ,2014-07-28      ,198              ,1047       ,3    ,1
2014-04-12      ,2014-04-13      ,199              ,1055       ,1    ,1
2016-01-18      ,2016-01-19      ,200              ,1048       ,3    ,1
2015-12-02      ,2015-12-03      ,201              ,1052       ,2    ,1
2015-04-05      ,2015-04-06      ,202              ,1020       ,3    ,1
2016-08-18      ,2016-08-19      ,203              ,1041       ,3    ,1
2015-11-13      ,2015-11-14      ,204              ,1059       ,2    ,1
2016-08-23      ,2016-08-24      ,205              ,1039       ,2    ,1
2016-02-03      ,2016-02-04      ,206              ,1058       ,1    ,1
2016-01-28      ,2016-01-29      ,207              ,1022       ,2    ,1
2014-06-11      ,2014-06-12      ,208              ,1072       ,3    ,1
2016-12-31      ,2017-01-01      ,209              ,1049       ,1    ,1
2014-06-11      ,2014-06-12      ,210              ,1047       ,3    ,1
2014-08-31      ,2014-09-01      ,211              ,1075       ,2    ,1
2016-03-15      ,2016-03-16      ,212              ,1097       ,2    ,1
2015-03-06      ,2015-03-07      ,213              ,1085       ,3    ,1
2016-03-17      ,2016-03-18      ,214              ,1021       ,3    ,1
2015-05-06      ,2015-05-07      ,215              ,1092       ,2    ,1
2014-12-03      ,2014-12-04      ,216              ,1020       ,3    ,1
2016-11-22      ,2016-11-23      ,217              ,1012       ,1    ,1
2015-10-21      ,2015-10-22      ,218              ,1059       ,1    ,1
2016-03-05      ,2016-03-06      ,219              ,1038       ,1    ,1
2014-07-11      ,2014-07-12      ,220              ,1039       ,3    ,1
2015-03-15      ,2015-03-16      ,221              ,1091       ,2    ,1
2015-10-18      ,2015-10-19      ,222              ,1069       ,2    ,1
2016-03-05      ,2016-03-06      ,223              ,1034       ,3    ,1
2016-03-25      ,2016-03-26      ,224              ,1083       ,1    ,1
2015-03-15      ,2015-03-16      ,225              ,1037       ,3    ,1
2014-11-22      ,2014-11-23      ,226              ,1007       ,3    ,1
2014-10-16      ,2014-10-17      ,227              ,1067       ,1    ,1
2015-09-01      ,2015-09-02      ,228              ,1003       ,1    ,1
2015-03-16      ,2015-03-17      ,229              ,1014       ,1    ,1
2015-04-23      ,2015-04-24      ,230              ,1071       ,1    ,1
2016-07-21      ,2016-07-22      ,231              ,1027       ,3    ,1
2015-01-21      ,2015-01-22      ,232              ,1079       ,2    ,1
2015-10-15      ,2015-10-16      ,233              ,1062       ,3    ,1
2014-09-29      ,2014-09-30      ,234              ,1036       ,1    ,1
2014-09-29      ,2014-09-30      ,235              ,1041       ,3    ,1
2015-12-25      ,2015-12-26      ,236              ,1034       ,1    ,1
2015-02-09      ,2015-02-10      ,237              ,1090       ,2    ,1
2015-01-28      ,2015-01-29      ,238              ,1080       ,2    ,1
2016-11-21      ,2016-11-22      ,239              ,1089       ,1    ,1
2015-01-20      ,2015-01-21      ,240              ,1095       ,1    ,1
2014-05-21      ,2014-05-22      ,241              ,1085       ,3    ,1
2015-04-30      ,2015-05-01      ,242              ,1035       ,1    ,1
2015-01-27      ,2015-01-28      ,243              ,1090       ,2    ,1
2016-10-24      ,2016-10-25      ,244              ,1038       ,1    ,1
2016-11-05      ,2016-11-06      ,245              ,1077       ,2    ,1
2016-12-02      ,2016-12-03      ,246              ,1051       ,3    ,1
2015-03-28      ,2015-03-29      ,247              ,1002       ,1    ,1
2014-07-16      ,2014-07-17      ,248              ,1076       ,1    ,1
2015-07-26      ,2015-07-27      ,249              ,1055       ,1    ,1
2014-01-20      ,2014-01-21      ,250              ,1021       ,3    ,1
2014-11-12      ,2014-11-13      ,251              ,1003       ,2    ,1
2014-09-29      ,2014-09-30      ,252              ,1073       ,3    ,1
2016-05-28      ,2016-05-29      ,253              ,1059       ,3    ,1
2014-09-19      ,2014-09-20      ,254              ,1037       ,3    ,1
2015-11-10      ,2015-11-11      ,255              ,1038       ,2    ,1
2014-06-03      ,2014-06-04      ,256              ,1019       ,1    ,1
2015-07-21      ,2015-07-22      ,257              ,1061       ,3    ,1
2016-07-13      ,2016-07-14      ,258              ,1060       ,2    ,1
2016-09-07      ,2016-09-08      ,259              ,1024       ,3    ,1
2015-08-15      ,2015-08-16      ,260              ,1035       ,3    ,1
2015-08-16      ,2015-08-17      ,261              ,1029       ,3    ,1
2016-05-20      ,2016-05-21      ,262              ,1081       ,1    ,1
2017-03-03      ,2017-03-04      ,263              ,1084       ,3    ,1
2014-12-26      ,2014-12-27      ,264              ,1068       ,3    ,1
2015-09-19      ,2015-09-20      ,265              ,1010       ,2    ,1
2015-10-13      ,2015-10-14      ,266              ,1030       ,2    ,1
2016-07-21      ,2016-07-22      ,267              ,1014       ,1    ,1
2015-12-16      ,2015-12-17      ,268              ,1067       ,3    ,1
2016-04-25      ,2016-04-26      ,269              ,1087       ,1    ,1
2016-12-19      ,2016-12-20      ,270              ,1049       ,3    ,1
2015-11-01      ,2015-11-02      ,271              ,1024       ,1    ,1
2014-08-09      ,2014-08-10      ,272              ,1013       ,3    ,1
2016-09-22      ,2016-09-23      ,273              ,1003       ,1    ,1
2017-02-12      ,2017-02-13      ,274              ,1078       ,3    ,1
2015-07-29      ,2015-07-30      ,275              ,1097       ,2    ,1
2016-01-08      ,2016-01-09      ,276              ,1037       ,2    ,1
2014-05-22      ,2014-05-23      ,277              ,1056       ,1    ,1
2017-01-11      ,2017-01-12      ,278              ,1045       ,3    ,1
2015-04-07      ,2015-04-08      ,279              ,1048       ,3    ,1
2015-05-13      ,2015-05-14      ,280              ,1096       ,3    ,1
2016-10-21      ,2016-10-22      ,281              ,1093       ,2    ,1
2016-10-24      ,2016-10-25      ,282              ,1081       ,3    ,1
2016-04-28      ,2016-04-29      ,283              ,1081       ,2    ,1
2015-10-01      ,2015-10-02      ,284              ,1019       ,2    ,1
2014-09-11      ,2014-09-12      ,285              ,1021       ,2    ,1
2014-12-21      ,2014-12-22      ,286              ,1087       ,2    ,1
2015-11-10      ,2015-11-11      ,287              ,1008       ,2    ,1
2014-11-13      ,2014-11-14      ,288              ,1023       ,1    ,1
2014-12-11      ,2014-12-12      ,289              ,1096       ,2    ,1
2014-04-26      ,2014-04-27      ,290              ,1073       ,2    ,1
2015-02-27      ,2015-02-28      ,291              ,1015       ,1    ,1
2016-07-27      ,2016-07-28      ,292              ,1079       ,2    ,1
2015-03-08      ,2015-03-09      ,293              ,1038       ,3    ,1
2016-06-05      ,2016-06-06      ,294              ,1067       ,3    ,1
2016-10-03      ,2016-10-04      ,295              ,1021       ,1    ,1
2016-10-24      ,2016-10-25      ,296              ,1074       ,1    ,1
2014-09-15      ,2014-09-16      ,297              ,1000       ,2    ,1
2016-12-06      ,2016-12-07      ,298              ,1055       ,3    ,1
2014-08-06      ,2014-08-07      ,299              ,1016       ,1    ,1
2016-01-04      ,2016-01-05      ,300              ,1054       ,1    ,1
2015-02-20      ,2015-02-21      ,301              ,1087       ,3    ,1
2016-05-04      ,2016-05-05      ,302              ,1075       ,3    ,1
2015-07-05      ,2015-07-06      ,303              ,1087       ,1    ,1
2016-09-04      ,2016-09-05      ,304              ,1004       ,3    ,1
2015-06-25      ,2015-06-26      ,305              ,1083       ,3    ,1
2015-08-23      ,2015-08-24      ,306              ,1007       ,1    ,1
2016-08-07      ,2016-08-08      ,307              ,1050       ,1    ,1
2016-07-02      ,2016-07-03      ,308              ,1009       ,2    ,1
2014-09-20      ,2014-09-21      ,309              ,1077       ,1    ,1
2014-10-19      ,2014-10-20      ,310              ,1058       ,2    ,1
2016-11-16      ,2016-11-17      ,311              ,1062       ,1    ,1
2015-08-26      ,2015-08-27      ,312              ,1038       ,3    ,1
2014-05-14      ,2014-05-15      ,313              ,1041       ,2    ,1
2016-12-06      ,2016-12-07      ,314              ,1092       ,1    ,1
2016-08-28      ,2016-08-29      ,315              ,1028       ,3    ,1
2015-07-26      ,2015-07-27      ,316              ,1047       ,2    ,1
2015-01-24      ,2015-01-25      ,317              ,1056       ,2    ,1
2016-04-24      ,2016-04-25      ,318              ,1033       ,1    ,1
2015-08-11      ,2015-08-12      ,319              ,1052       ,2    ,1
2016-06-28      ,2016-06-29      ,320              ,1061       ,3    ,1
2015-11-24      ,2015-11-25      ,321              ,1068       ,2    ,1
2015-05-23      ,2015-05-24      ,322              ,1019       ,2    ,1
2014-03-29      ,2014-03-30      ,323              ,1047       ,2    ,1
2016-06-02      ,2016-06-03      ,324              ,1032       ,3    ,1
2016-12-10      ,2016-12-11      ,325              ,1012       ,1    ,1
2015-07-02      ,2015-07-03      ,326              ,1004       ,3    ,1
2015-09-21      ,2015-09-22      ,327              ,1024       ,1    ,1
2014-11-22      ,2014-11-23      ,328              ,1000       ,1    ,1
2014-07-11      ,2014-07-12      ,329              ,1085       ,1    ,1
2014-01-16      ,2014-01-17      ,330              ,1085       ,3    ,1
2015-04-30      ,2015-05-01      ,331              ,1086       ,2    ,1
2016-09-30      ,2016-10-01      ,332              ,1099       ,3    ,1
2014-03-22      ,2014-03-23      ,333              ,1034       ,3    ,1
2014-02-09      ,2014-02-10      ,334              ,1050       ,1    ,1
2015-10-04      ,2015-10-05      ,335              ,1070       ,2    ,1
2015-08-06      ,2015-08-07      ,336              ,1096       ,3    ,1
2014-08-26      ,2014-08-27      ,337              ,1060       ,2    ,1
2015-05-07      ,2015-05-08      ,338              ,1075       ,3    ,1
2015-07-22      ,2015-07-23      ,339              ,1059       ,2    ,1
2014-01-24      ,2014-01-25      ,340              ,1011       ,3    ,1
2014-10-28      ,2014-10-29      ,341              ,1075       ,2    ,1
2016-11-24      ,2016-11-25      ,342              ,1089       ,3    ,1
2015-09-16      ,2015-09-17      ,343              ,1053       ,3    ,1
2014-07-03      ,2014-07-04      ,344              ,1036       ,3    ,1
2016-07-14      ,2016-07-15      ,345              ,1092       ,1    ,1
2016-12-15      ,2016-12-16      ,346              ,1058       ,2    ,1
2015-01-30      ,2015-01-31      ,347              ,1022       ,1    ,1
2015-04-02      ,2015-04-03      ,348              ,1002       ,3    ,1
2015-05-06      ,2015-05-07      ,349              ,1022       ,3    ,1
2014-06-17      ,2014-06-18      ,350              ,1077       ,1    ,1
2014-06-17      ,2014-06-18      ,351              ,1046       ,1    ,1
2014-03-14      ,2014-03-15      ,352              ,1075       ,3    ,1
2016-03-03      ,2016-03-04      ,353              ,1075       ,3    ,1
2016-04-07      ,2016-04-08      ,354              ,1008       ,3    ,1
2014-10-16      ,2014-10-17      ,355              ,1066       ,3    ,1
2015-07-25      ,2015-07-26      ,356              ,1062       ,2    ,1
2015-05-14      ,2015-05-15      ,357              ,1098       ,2    ,1
2014-12-17      ,2014-12-18      ,358              ,1012       ,3    ,1
2016-07-31      ,2016-08-01      ,359              ,1076       ,3    ,1
2015-09-23      ,2015-09-24      ,360              ,1058       ,3    ,1
2016-01-07      ,2016-01-08      ,361              ,1061       ,3    ,1
2015-08-03      ,2015-08-04      ,362              ,1055       ,2    ,1
2015-11-13      ,2015-11-14      ,363              ,1073       ,2    ,1
2014-12-10      ,2014-12-11      ,364              ,1070       ,2    ,1
2016-03-21      ,2016-03-22      ,365              ,1049       ,3    ,1
2014-12-09      ,2014-12-10      ,366              ,1009       ,2    ,1
2016-01-15      ,2016-01-16      ,367              ,1082       ,2    ,1
2014-09-12      ,2014-09-13      ,368              ,1073       ,2    ,1
2014-10-04      ,2014-10-05      ,369              ,1024       ,2    ,1
2014-04-04      ,2014-04-05      ,370              ,1068       ,2    ,1
2016-10-16      ,2016-10-17      ,371              ,1018       ,2    ,1
2014-08-01      ,2014-08-02      ,372              ,1016       ,2    ,1
2014-10-03      ,2014-10-04      ,373              ,1060       ,1    ,1
2014-03-04      ,2014-03-05      ,374              ,1073       ,2    ,1
2014-07-08      ,2014-07-09      ,375              ,1033       ,1    ,1
2014-08-16      ,2014-08-17      ,376              ,1026       ,1    ,1
2016-11-15      ,2016-11-16      ,377              ,1019       ,2    ,1
2015-10-14      ,2015-10-15      ,378              ,1035       ,3    ,1
2014-06-15      ,2014-06-16      ,379              ,1057       ,2    ,1
2014-08-15      ,2014-08-16      ,380              ,1035       ,2    ,1
2014-08-15      ,2014-08-16      ,381              ,1030       ,3    ,1
2016-09-09      ,2016-09-10      ,382              ,1023       ,2    ,1
2014-12-16      ,2014-12-17      ,383              ,1017       ,1    ,1
2014-11-08      ,2014-11-09      ,384              ,1009       ,1    ,1
2014-03-04      ,2014-03-05      ,385              ,1038       ,1    ,1
2014-05-09      ,2014-05-10      ,386              ,1045       ,3    ,1
2015-11-06      ,2015-11-07      ,387              ,1095       ,1    ,1
2015-08-25      ,2015-08-26      ,388              ,1057       ,1    ,1
2016-05-20      ,2016-05-21      ,389              ,1067       ,2    ,1
2015-09-04      ,2015-09-05      ,390              ,1042       ,3    ,1
2015-05-21      ,2015-05-22      ,391              ,1080       ,2    ,1
2015-08-16      ,2015-08-17      ,392              ,1058       ,3    ,1
2014-06-04      ,2014-06-05      ,393              ,1022       ,3    ,1
2014-06-05      ,2014-06-06      ,394              ,1030       ,1    ,1
2015-10-07      ,2015-10-08      ,395              ,1014       ,1    ,1
2014-11-23      ,2014-11-24      ,396              ,1036       ,2    ,1
2015-07-20      ,2015-07-21      ,397              ,1074       ,3    ,1
2014-06-21      ,2014-06-22      ,398              ,1090       ,3    ,1
2015-06-12      ,2015-06-13      ,399              ,1049       ,3    ,1
2014-12-04      ,2014-12-05      ,400              ,1002       ,1    ,1
2015-09-04      ,2015-09-05      ,401              ,1081       ,3    ,1
2016-01-11      ,2016-01-12      ,402              ,1084       ,3    ,1
2015-04-06      ,2015-04-07      ,403              ,1025       ,3    ,1
2014-12-23      ,2014-12-24      ,404              ,1036       ,3    ,1
2015-05-26      ,2015-05-27      ,405              ,1042       ,1    ,1
2016-01-01      ,2016-01-02      ,406              ,1040       ,1    ,1
2015-08-26      ,2015-08-27      ,407              ,1035       ,3    ,1
2016-06-02      ,2016-06-03      ,408              ,1057       ,3    ,1
2015-09-19      ,2015-09-20      ,409              ,1094       ,3    ,1
2014-08-17      ,2014-08-18      ,410              ,1075       ,3    ,1
2015-04-27      ,2015-04-28      ,411              ,1093       ,1    ,1
2016-01-05      ,2016-01-06      ,412              ,1075       ,2    ,1
2014-03-15      ,2014-03-16      ,413              ,1046       ,3    ,1
2016-05-12      ,2016-05-13      ,414              ,1059       ,1    ,1
2015-07-12      ,2015-07-13      ,415              ,1079       ,2    ,1
2016-12-27      ,2016-12-28      ,416              ,1065       ,1    ,1
2015-01-20      ,2015-01-21      ,417              ,1081       ,2    ,1
2014-01-27      ,2014-01-28      ,418              ,1077       ,3    ,1
2014-05-30      ,2014-05-31      ,419              ,1014       ,1    ,1
2015-04-01      ,2015-04-02      ,420              ,1026       ,1    ,1
2016-04-07      ,2016-04-08      ,421              ,1015       ,3    ,1
2016-05-29      ,2016-05-30      ,422              ,1073       ,3    ,1
